ϻ�SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DS_SIT_TOT_TURNO
SP;62138;BARUERI;11;PREFEITO;28;MILTON PRATES;MILTON PRATES;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;-1;PARTIDO ISOLADO;PRTB;NÃO ELEITO
SP;64670;GUARAREMA;11;PREFEITO;44;RAIMUNDO RAMOS;MUNDINHO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;3; O VOTO NÃO TEM PREÇO ;PRP / PSB / PDT / PPS ;NÃO ELEITO
SP;68837;PIRAPORA DO BOM JESUS;11;PREFEITO;31;ADRIANA CRITELLI;ADRIANA;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;3;PIRAPORA INDEPENDENTE;PHS / PL / PT / PC do B ;NÃO ELEITO
SP;63614;COTIA;11;PREFEITO;13;JOSÉ ADELINO D  AMARAL;AMARAL;13;PT;PARTIDO DOS TRABALHADORES;-1;PARTIDO ISOLADO;PT;NÃO ELEITO
SP;70750;SAO BERNARDO DO CAMPO;11;PREFEITO;14;LAURO GOMES JUNIOR;LAURO GOMES;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;4;TRABALHO E PROGRESSO;PTB / PPB;NÃO ELEITO
SP;67130;MOGI DAS CRUZES;11;PREFEITO;15;FRANCISCO MOACIR BEZERRA DE MELO FILHO;CHICO BEZERRA;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;11;AMOR POR MOGI;PDT / PMDB / PSD / PRP;NÃO ELEITO
SP;70777;SAO CAETANO DO SUL;11;PREFEITO;13;JAIR ANTONIO MENEGUELLI;JAIR MENEGUELLI;13;PT;PARTIDO DOS TRABALHADORES;5;COLIGAÇÃO PT-PV NOSSA CIDADE MERECE RESPEITO;PT / PV ;NÃO ELEITO
SP;66010;JANDIRA;11;PREFEITO;12;JOSE ROBERTO PITERI;PITERI;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;8;UNIAO E PARTICIPAÇÃO POPULAR;PDT / PMDB ;NÃO ELEITO
SP;66710;MAIRIPORA;11;PREFEITO;56;EUCLIDES SOARES DE LIMA NETTO;NETTO;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL;-1;PARTIDO ISOLADO;PRONA;NÃO ELEITO
SP;71579;TABOAO DA SERRA;11;PREFEITO;45;FERNANDO FERNANDES FILHO;FERNANDO FERNANDES;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1;PSDB/PV/PSD/PGT/PST/PTB/PSC/PPB;PSDB / PV / PSD / PGT / PST / PTB / PSC / PPB ;ELEITO
SP;64777;GUARULHOS;11;PREFEITO;43;JOVINO CÂNDIDO DA SILVA;JOVINO;43;PV;PARTIDO VERDE;3;FRENTE POPULAR DE GUARULHOS;PDT / PL / PSDC / PV / PSDB ;2º TURNO
SP;68977;POA;11;PREFEITO;41;EDUARDO CARLOS FELIPPE;EDUARDÃO;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO;-1;PARTIDO ISOLADO;PSD;ELEITO
SP;67130;MOGI DAS CRUZES;11;PREFEITO;20;CESAR DAVI MARQUES;CESAR DAVI;20;PSC;PARTIDO SOCIAL CRISTÃO;13;MOGI PRA TODOS;PSC / PPS / PSB ;NÃO ELEITO
SP;70378;SANTA ISABEL;11;PREFEITO;25;WALDEMAR DE BRITO SIMÃO;NENÊ SIMÃO;25;PFL;PARTIDO DA FRENTE LIBERAL;1;A VOLTA DO POVO ;PPB / PTB / PTN / PPS / PFL / PSC / PAN / PGT / PSB / PV / PSDB / PSDC ;ELEITO
SP;71072;SAO PAULO;11;PREFEITO;56;ENÉAS FERREIRA CARNEIRO;ENÉAS;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL;-1;PARTIDO ISOLADO;PRONA;NÃO ELEITO
SP;61778;ARUJA;11;PREFEITO;22;ABEL JOSÉ LARINI;ABEL;22;PL;PARTIDO LIBERAL;1;ARUJA MELHOR;PL / PSB / PPB / PFL / PSDB ;ELEITO
SP;71072;SAO PAULO;11;PREFEITO;26;OSMAR DE OLIVEIRA LINS;OSMAR LINS;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;-1;PARTIDO ISOLADO;PAN;NÃO ELEITO
SP;70777;SAO CAETANO DO SUL;11;PREFEITO;14;LUIZ OLINTO TORTORELLO;TORTORELLO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1;COLIGAÇÃO SAO CAETANO SEGUINDO EM FRENTE ;PTB / PFL / PL / PPS / PRP / PST / PMDB / PDT / PPB / PGT / PRONA / PSC;ELEITO
SP;66710;MAIRIPORA;11;PREFEITO;43;ANTONIO CARLOS NERY PINHO;TUNA;43;PV;PARTIDO VERDE;-1;PARTIDO ISOLADO;PV;NÃO ELEITO
SP;65510;ITAPEVI;11;PREFEITO;45;DALVANI ANÁLIA NASI CARAMEZ;DALVANI CARAMEZ;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;9;COLIGAÇÃO   ITAPEVI DE CORAÇÃO ;PMDB / PSDB / PV / PSDC / PSL / PST / PSD / PRTB / PDT ;ELEITO
